id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,3663,1,0,,,1,363,0,
898633,City SkyLine View from 1 Bedroom Apt in CDMX,4796027,Marco,,Cuauhtémoc,19.42063,-99.16586,Entire home/apt,1652,3,56,2024-04-17,0.41,3,262,3,
44616,CONDESA HAUS  B&B,196253,Fernando,,Cuauhtémoc,19.41162,-99.17794,Entire home/apt,18000,1,64,2023-03-26,0.42,13,364,0,
913084,15 blocks from Paseo de la Reforma,4647293,Martina,,Miguel Hidalgo,19.43956,-99.17263,Entire home/apt,814,2,161,2024-05-21,1.19,1,236,6,
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41152,-99.16857,Entire home/apt,1923,2,49,2024-05-05,0.32,2,361,4,
939721,Radiant Apartment with Terrace in Roma Norte,4821807,Alex,,Cuauhtémoc,19.42288,-99.15488,Entire home/apt,1636,3,526,2024-06-04,3.85,3,276,22,
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35448,-99.16217,Entire home/apt,1191,5,124,2024-06-04,0.82,3,204,8,
997247,NEW! HISTORIC BUILDING -BEST STREET,5479592,Lorenzo,,Cuauhtémoc,19.41434,-99.15857,Entire home/apt,1374,2,474,2024-06-10,3.50,1,345,36,
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.43211,-99.19327,Entire home/apt,3444,1,11,2023-08-16,0.11,3,309,1,
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35416,-99.16488,Private room,,1,0,,,3,0,0,
1001517,Colonial House Downtown Coyoacan,5507751,Arlette And Fernando,,Coyoacán,19.3461,-99.15911,Entire home/apt,2337,2,80,2024-05-28,0.60,3,43,10,
165772,BEST 5 Bedroom HOUSE IN S. Miguel Chapultepec,790208,Francisco Carlos,,Miguel Hidalgo,19.40826,-99.18659,Entire home/apt,3480,2,351,2024-06-06,2.23,7,218,40,
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39675,-99.17581,Private room,315,4,107,2024-05-23,0.85,2,331,12,
1011428,PLAZA DEL ARCÁNGEL EN SAN ÁNGEL,5307709,Rosa María,,Álvaro Obregón,19.34406,-99.19413,Entire home/apt,6869,7,24,2023-12-26,0.18,1,308,3,
1013504,"OASIS IN COYOACAN, SHARED HOUSE",1664327,Edoardo,,Coyoacán,19.34034,-99.18345,Private room,366,2,66,2024-05-31,0.51,2,232,14,
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.4239,-99.1689,Entire home/apt,1575,3,51,2024-03-18,0.34,1,331,6,
187030,Spacious apt with the best rooftop in Condesa,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,,4,104,2023-09-08,0.67,6,0,3,
